,DEPTH,VP_FRMB,VS_FRMB,RHO_FRMB,PHIE,VSH,VP_FRMO,VS_FRMO,RHO_FRMO
18442,2331.375,3237.5649,1591.9792,2.2053,0.2707,0.0677,3108.7219,1612.5575,2.1494
18443,2331.5,3248.3328,1589.8444,2.2047,0.2711,0.0678,3123.6438,1610.4292,2.1487
18444,2331.625,3256.7083,1591.5938,2.2066,0.2699,0.1137,3137.5996,1611.2614,2.153
18445,2331.75,3262.2563,1594.9131,2.2112,0.2671,0.1451,3145.5171,1613.7804,2.1598
18446,2331.875,3266.4648,1595.1989,2.2174,0.2632,0.1676,3150.9924,1613.2939,2.168
18447,2332.0,3268.1555,1593.3499,2.2234,0.2595,0.2034,3154.8718,1610.4368,2.1765
18448,2332.125,3267.8621,1592.4738,2.2282,0.2565,0.2373,3156.3306,1608.6714,2.1835
18449,2332.25,3267.127,1590.6268,2.2327,0.2537,0.2291,3153.6208,1606.6943,2.1882
18450,2332.375,3262.8308,1583.3573,2.2377,0.2505,0.2105,3145.9114,1599.3898,2.1931
18451,2332.5,3259.2876,1561.4647,2.243,0.2472,0.2106,3143.2935,1576.978,2.1991
18452,2332.625,3253.2341,1512.8676,2.2483,0.2439,0.2101,3141.5967,1527.6202,2.2051
18453,2332.75,3228.9426,1451.5756,2.2548,0.2399,0.2297,3119.3601,1465.0848,2.2134
18454,2332.875,3190.4612,1430.6768,2.2647,0.2337,0.2739,3073.9875,1442.8062,2.2268
18455,2333.0,3144.1169,1466.1758,2.279,0.2249,0.3335,3010.4558,1476.9447,2.2458
18456,2333.125,3099.8806,1496.6027,2.2942,0.2154,0.3648,2946.0671,1506.3319,2.2646
18457,2333.25,3059.3645,1513.299,2.3077,0.207,0.3348,2875.9927,1522.9464,2.2785
18458,2333.375,3026.6877,1521.4158,2.3188,0.2,0.363,3026.6877,1521.4158,2.3188
18459,2333.5,3019.2358,1532.1035,2.3261,0.1955,0.4449,3019.2358,1532.1035,2.3261
18460,2333.625,3040.8481,1558.7421,2.3275,0.1946,0.4604,3040.8481,1558.7421,2.3275
18461,2333.75,3089.3318,1594.1499,2.3185,0.2003,0.344,2897.978,1603.5978,2.2912
18462,2333.875,3141.991,1608.274,2.2974,0.2134,0.2448,2957.929,1620.626,2.2625
18463,2334.0,3173.9062,1613.2791,2.2687,0.2312,0.2107,3008.9563,1627.8472,2.2283
18464,2334.125,3194.7605,1618.9225,2.2415,0.2482,0.2157,3047.7263,1635.0072,2.1977
18465,2334.25,3219.8506,1623.8256,2.2235,0.2594,0.209,3086.1233,1641.1383,2.1768
18466,2334.375,3235.8005,1625.2842,2.2143,0.2651,0.1639,3105.834,1643.9821,2.1643
18467,2334.5,3240.9238,1624.0771,2.2105,0.2675,0.1482,3112.7288,1643.2808,2.1591
18468,2334.625,3240.6396,1621.8462,2.2098,0.2679,0.1721,3115.1069,1640.6305,2.1595
18469,2334.75,3242.9478,1620.3921,2.2104,0.2676,0.2005,3120.7798,1638.6063,2.1615
18470,2334.875,3248.1853,1615.6731,2.2109,0.2673,0.2137,3129.5325,1633.5646,2.1627
18471,2335.0,3249.373,1604.5055,2.2114,0.2669,0.2221,3133.5479,1622.0929,2.1637
18472,2335.125,3244.7563,1599.064,2.2128,0.2661,0.2208,3127.8728,1616.5328,2.1652
18473,2335.25,3236.2373,1600.0133,2.2145,0.265,0.1837,3112.6133,1618.0605,2.1653
18474,2335.375,3223.2659,1585.8096,2.2152,0.2646,0.1461,3094.1704,1604.3218,2.1644
18475,2335.5,3207.7905,1549.6064,2.214,0.2653,0.1491,3080.488,1567.7148,2.1631
18476,2335.625,3198.0029,1513.8962,2.2104,0.2675,0.1558,3075.197,1531.6725,2.1594
18477,2335.75,3191.3831,1515.4269,2.2058,0.2704,0.1366,3065.9604,1533.8136,2.1532
18478,2335.875,3186.8794,1554.2435,2.2007,0.2736,0.1272,3054.2844,1573.5635,2.147
18479,2336.0,3183.8525,1595.7678,2.1951,0.2771,0.1253,3044.6716,1615.9789,2.1406
18480,2336.125,3181.8752,1612.7478,2.1897,0.2805,0.1201,3040.3662,1633.6033,2.1342
18481,2336.25,3183.3225,1619.8218,2.1865,0.2825,0.1137,3041.5977,1641.0874,2.1302
18482,2336.375,3189.2986,1645.6631,2.1873,0.2819,0.112,3044.4014,1667.2468,2.131
18483,2336.5,3210.4189,1675.0974,2.1916,0.2793,0.123,3066.7229,1696.5819,2.1365
18484,2336.625,3282.7808,1693.5952,2.1976,0.2755,0.1535,3160.564,1714.348,2.1447
18485,2336.75,3387.5911,1694.767,2.2041,0.2715,0.1844,3297.4304,1714.5256,2.1536
18486,2336.875,3445.4163,1675.6477,2.2114,0.2669,0.197,3372.8936,1694.493,2.1625
18487,2337.0,3459.1702,1663.5865,2.2234,0.2595,0.2057,3389.7241,1681.4036,2.1765
18488,2337.125,3484.21,1676.1047,2.2469,0.2448,0.2113,3414.5544,1692.5281,2.2035
18489,2337.25,3509.8186,1676.2412,2.2833,0.2222,0.1941,3437.1941,1690.8447,2.244
18490,2337.375,3513.2695,1669.3796,2.326,0.1956,0.1569,3428.1055,1682.1697,2.2908
18491,2337.5,3476.0093,1663.8613,2.3599,0.1745,0.1142,3362.7163,1675.4995,2.3272
18492,2337.625,3398.5225,1636.7627,2.3644,0.1716,0.091,3255.3381,1648.3644,2.3312
18493,2337.75,3307.8228,1566.6088,2.3328,0.1913,0.1048,3161.3555,1579.1193,2.296
18494,2337.875,3242.9436,1503.0593,2.283,0.2223,0.1118,3107.2798,1517.5044,2.2398
18495,2338.0,3215.4534,1486.9409,2.2378,0.2505,0.0997,3088.6829,1503.8326,2.1878
18496,2338.125,3212.4519,1482.1981,2.2075,0.2693,0.1333,3098.219,1500.1456,2.155
18497,2338.25,3214.7449,1493.8077,2.1929,0.2785,0.1765,3107.1365,1511.9924,2.1405
18498,2338.375,3219.4819,1521.9902,2.1894,0.2806,0.2129,3112.8923,1540.0917,2.1383
18499,2338.5,3222.0312,1528.9855,2.1914,0.2794,0.223,3115.4285,1546.8848,2.1409
18500,2338.625,3218.4417,1491.9476,2.1955,0.2769,0.1965,3113.0833,1509.6299,2.1443
18501,2338.75,3207.7039,1460.0483,2.2009,0.2735,0.1803,3101.0452,1477.3179,2.1498
18502,2338.875,3187.4058,1446.4401,2.2071,0.2696,0.1923,3075.8982,1463.0214,2.1574
18503,2339.0,3160.9265,1442.5039,2.2184,0.2626,0.2265,3041.6709,1457.8878,2.1718
18504,2339.125,3141.6389,1435.9919,2.2452,0.2459,0.3214,3141.6389,1435.9919,2.2452
18505,2339.25,3131.4065,1401.3268,2.28,0.2242,0.4565,3131.4065,1401.3268,2.28
18506,2339.375,3124.4229,1311.4269,2.2993,0.2122,0.5237,3124.4229,1311.4269,2.2993
18507,2339.5,3110.9009,1214.1514,2.297,0.2136,0.4965,3110.9009,1214.1514,2.297
18508,2339.625,3072.2122,1160.2119,2.286,0.2205,0.4829,3072.2122,1160.2119,2.286
18509,2339.75,3015.6924,1142.5197,2.2739,0.228,0.4944,3015.6924,1142.5197,2.2739
18510,2339.875,2988.4463,1132.7418,2.2593,0.2371,0.471,2988.4463,1132.7418,2.2593
18511,2340.0,2992.8325,1136.7405,2.2445,0.2463,0.3978,2992.8325,1136.7405,2.2445
18512,2340.125,3011.7793,1170.366,2.2408,0.2486,0.3747,3011.7793,1170.366,2.2408
18513,2340.25,3055.0425,1219.8673,2.2562,0.239,0.4175,3055.0425,1219.8673,2.2562
18514,2340.375,3122.1714,1268.0986,2.2825,0.2227,0.4531,3122.1714,1268.0986,2.2825
18515,2340.5,3142.418,1297.9515,2.2971,0.2136,0.4814,3142.418,1297.9515,2.2971
18516,2340.625,3108.5076,1312.8185,2.2989,0.2124,0.5144,3108.5076,1312.8185,2.2989
18517,2340.75,3086.8562,1333.4003,2.2972,0.2135,0.5288,3086.8562,1333.4003,2.2972
18518,2340.875,3085.3264,1350.3131,2.281,0.2236,0.4925,3085.3264,1350.3131,2.281
18519,2341.0,3071.5823,1345.7693,2.2467,0.245,0.4225,3071.5823,1345.7693,2.2467
18520,2341.125,3026.4285,1333.1241,2.2222,0.2602,0.3254,2890.3564,1345.7053,2.1809
18521,2341.25,2981.6787,1330.5012,2.2173,0.2633,0.2095,2818.3352,1345.0062,2.1697
18522,2341.375,2955.457,1333.2729,2.228,0.2566,0.1133,2765.1538,1348.7046,2.1773
18523,2341.5,2942.7544,1337.4272,2.2534,0.2408,0.1222,2734.9141,1351.5382,2.2066
18524,2341.625,2933.2617,1348.9862,2.2851,0.221,0.2278,2719.7915,1360.1819,2.2476
18525,2341.75,2931.9507,1368.3086,2.3135,0.2034,0.3188,2719.3726,1377.043,2.2842
18526,2341.875,2952.4067,1389.2798,2.3331,0.1912,0.3874,2952.4067,1389.2798,2.3331
18527,2342.0,2978.3562,1407.8983,2.3439,0.1844,0.4296,2978.3562,1407.8983,2.3439
18528,2342.125,3000.0073,1428.115,2.3462,0.183,0.4574,3000.0073,1428.115,2.3462
18529,2342.25,3019.7825,1444.3707,2.3391,0.1874,0.4794,3019.7825,1444.3707,2.3391
18530,2342.375,3040.7595,1453.1936,2.3239,0.1969,0.4554,3040.7595,1453.1936,2.3239
18531,2342.5,3065.4294,1463.1144,2.3043,0.2091,0.3687,3065.4294,1463.1144,2.3043
18532,2342.625,3093.6011,1480.4354,2.2847,0.2213,0.2372,2921.8796,1492.598,2.2476
18533,2342.75,3117.856,1495.7634,2.2651,0.2335,0.1415,2947.4602,1510.6102,2.2208
18534,2342.875,3139.2285,1501.3899,2.2449,0.2461,0.1526,2985.8577,1517.1962,2.1984
18535,2343.0,3157.521,1507.2026,2.2266,0.2575,0.1964,3021.0408,1523.3434,2.1797
18536,2343.125,3170.0996,1513.6932,2.2148,0.2648,0.1725,3038.2834,1530.9612,2.1651
18537,2343.25,3177.1653,1517.3901,2.2131,0.2659,0.0905,3040.019,1536.1821,2.1593
18538,2343.375,3189.1299,1517.186,2.2203,0.2614,0.0421,3049.1123,1536.385,2.1651
18539,2343.5,3213.7617,1517.0602,2.2296,0.2556,0.0902,3083.2937,1534.9209,2.178
18540,2343.625,3245.4446,1516.6581,2.235,0.2522,0.157,3129.7668,1533.0947,2.1874
