TWT,DEPTH,VP,VS,RHO,NEAR,FAR,WELL,ID
2.568,2100.8228156485065,2429.4158522836537,1018.3411442307691,2.2555824519230767,-7.513095864876723e-11,-4.485354100970638e-11,W155_5,Z40_Sw025_Por25
2.572,2105.563678603554,2429.4158522836537,1018.3411442307691,2.2555824519230767,-2.399288026755452e-09,-1.4323864068509046e-09,W155_5,Z40_Sw025_Por25
2.576,2110.18373978967,2429.4158522836537,1018.3411442307691,2.2555824519230767,-5.6841289141149665e-08,-3.393452099361227e-08,W155_5,Z40_Sw025_Por25
2.58,2114.912341392281,2429.4158522836537,1018.3411442307691,2.2555824519230767,-9.960957493899664e-07,-5.946739180273198e-07,W155_5,Z40_Sw025_Por25
2.584,2119.8148713595515,2429.4158522836537,1018.3411442307691,2.2555824519230767,-1.2861488446172326e-05,-7.678370006675516e-06,W155_5,Z40_Sw025_Por25
2.588,2124.8001251991545,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.00012168923846310857,-7.26490563363078e-05,W155_5,Z40_Sw025_Por25
2.592,2129.3459271166366,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.0008369287469645548,-0.0004996504573878688,W155_5,Z40_Sw025_Por25
2.596,2133.970657201785,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.004131710048715606,-0.002466650612837665,W155_5,Z40_Sw025_Por25
2.6,2138.736286191246,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.014328023368805988,-0.008553897967760108,W155_5,Z40_Sw025_Por25
2.604,2143.5234121981985,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.03343763255594209,-0.019962417050337997,W155_5,Z40_Sw025_Por25
2.608,2148.4835547065795,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.04702179456527871,-0.028072074168507585,W155_5,Z40_Sw025_Por25
2.612,2153.46435124128,2429.4158522836537,1018.3411442307691,2.2555824519230767,-0.022516718443717953,-0.013440500786718393,W155_5,Z40_Sw025_Por25
2.616,2158.6742173764947,3002.4230046875,1499.741676834239,2.2127486413043482,0.047003260586638805,0.02808092308737802,W155_5,Z40_Sw025_Por25
2.62,2163.7343057610415,3002.4230046875,1499.741676834239,2.2127486413043482,0.10323761238979763,0.06176919440818047,W155_5,Z40_Sw025_Por25
2.624,2168.2425113290215,3002.4230046875,1499.741676834239,2.2127486413043482,0.0849525049626722,0.05138769370414122,W155_5,Z40_Sw025_Por25
2.628,2173.906237261421,3002.4230046875,1499.741676834239,2.2127486413043482,0.020034403487239977,0.014286302264951931,W155_5,Z40_Sw025_Por25
2.632,2179.6992312619195,3002.4230046875,1499.741676834239,2.2127486413043482,-0.015203132770051305,-0.0036488728961712596,W155_5,Z40_Sw025_Por25
2.636,2185.31904662607,3002.4230046875,1499.741676834239,2.2127486413043482,-0.006029983442239713,0.004032587095150673,W155_5,Z40_Sw025_Por25
2.64,2190.9396441526546,3002.4230046875,1499.741676834239,2.2127486413043482,-0.005481300997297149,0.0003840932814491906,W155_5,Z40_Sw025_Por25
2.644,2196.7416995219774,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.04473846603834266,-0.03432301313972271,W155_5,Z40_Sw025_Por25
2.648,2202.047056621926,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.08215892973953497,-0.0657001590448955,W155_5,Z40_Sw025_Por25
2.652,2207.3000863207308,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.06423748713979233,-0.05161480373005261,W155_5,Z40_Sw025_Por25
2.656,2212.902328983384,2672.7611458333336,1176.6415925694444,2.1408248611111107,-0.006946151029036283,-0.005580148775983704,W155_5,Z40_Sw025_Por25
2.66,2218.4659747271626,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.032332160876011595,0.026014374321115804,W155_5,Z40_Sw025_Por25
2.664,2223.8308556801508,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.03346955789488261,0.026928773113703126,W155_5,Z40_Sw025_Por25
2.668,2229.8176726161096,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.01806147975936326,0.014531791837949871,W155_5,Z40_Sw025_Por25
2.672,2234.9714987224233,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0063004367431531046,0.005069164999532333,W155_5,Z40_Sw025_Por25
2.676,2240.2660731688734,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0015172844297948551,0.0012207669588916834,W155_5,Z40_Sw025_Por25
2.68,2245.8935731597676,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.00025987584864226043,0.0002090892403825127,W155_5,Z40_Sw025_Por25
2.684,2251.1990907424297,2672.7611458333336,1176.6415925694444,2.1408248611111107,3.217620803947969e-05,2.5888126700156633e-05,W155_5,Z40_Sw025_Por25
2.688,2257.4089114069934,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.9087437941639073e-06,2.340298390267806e-06,W155_5,Z40_Sw025_Por25
2.692,2263.414000166718,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.932607814446178e-07,1.5549251763692764e-07,W155_5,Z40_Sw025_Por25
2.696,2269.745747844646,2672.7611458333336,1176.6415925694444,2.1408248611111107,9.48097993777434e-09,7.628145913358134e-09,W155_5,Z40_Sw025_Por25
2.7,2275.8463345281207,2672.7611458333336,1176.6415925694444,2.1408248611111107,3.4458323584937495e-10,2.7724256560056054e-10,W155_5,Z40_Sw025_Por25
2.704,2282.302013836455,2672.7611458333336,1176.6415925694444,2.1408248611111107,9.301776749926388e-12,7.48396376404246e-12,W155_5,Z40_Sw025_Por25
2.708,2288.7861399616513,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.868608690748909e-13,1.5034331726839521e-13,W155_5,Z40_Sw025_Por25
2.712,2295.1808431302593,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.7978394288635214e-15,2.2510676686999112e-15,W155_5,Z40_Sw025_Por25
2.716,2301.4474877962884,2672.7611458333336,1176.6415925694444,2.1408248611111107,3.1262171835037304e-17,2.5152717323659623e-17,W155_5,Z40_Sw025_Por25
2.72,2307.746941678408,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.6094474822467754e-19,2.099492486901627e-19,W155_5,Z40_Sw025_Por25
2.724,2314.247831517939,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.6284567897443528e-21,1.3102132993948802e-21,W155_5,Z40_Sw025_Por25
2.728,2320.865173242822,2672.7611458333336,1176.6415925694444,2.1408248611111107,7.60340436953005e-24,6.1174982279998586e-24,W155_5,Z40_Sw025_Por25
2.732,2327.130650260908,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.657681800819807e-26,2.138300544984369e-26,W155_5,Z40_Sw025_Por25
2.736,2333.387430681925,2672.7611458333336,1176.6415925694444,2.1408248611111107,6.957961182946754e-29,5.598191696570181e-29,W155_5,Z40_Sw025_Por25
2.74,2339.835546781259,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.3650089198194595e-31,1.0982501051322707e-31,W155_5,Z40_Sw025_Por25
2.744,2346.0629271758166,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.0073750956897897e-34,1.6150809550554448e-34,W155_5,Z40_Sw025_Por25
2.748,2352.240678660544,2672.7611458333336,1176.6415925694444,2.1408248611111107,2.2136311642958332e-37,1.781029137328654e-37,W155_5,Z40_Sw025_Por25
2.7520000000000002,2358.343877931682,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.8310165569132221e-40,1.4731875352102788e-40,W155_5,Z40_Sw025_Por25
2.7560000000000002,2364.4692218172067,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.1363218910796676e-43,9.142545650964725e-44,W155_5,Z40_Sw025_Por25
2.7600000000000002,2370.6275000523383,2672.7611458333336,1176.6415925694444,2.1408248611111107,5.292145953529315e-47,4.2579207838492503e-47,W155_5,Z40_Sw025_Por25
2.7640000000000002,2376.83514917486,2672.7611458333336,1176.6415925694444,2.1408248611111107,1.8500015737756425e-50,1.4884623780793265e-50,W155_5,Z40_Sw025_Por25
2.7680000000000002,2382.997722891456,2672.7611458333336,1176.6415925694444,2.1408248611111107,4.855137074776158e-54,3.906314988410294e-54,W155_5,Z40_Sw025_Por25
2.7720000000000002,2389.2061770203836,2672.7611458333336,1176.6415925694444,2.1408248611111107,9.567341680503857e-58,7.697630289360637e-58,W155_5,Z40_Sw025_Por25
2.7760000000000002,2395.1801288812967,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.7800000000000002,2401.4797231209204,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.7840000000000003,2407.9172062294792,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
2.7880000000000003,2414.5709275076524,2672.7611458333336,1176.6415925694444,2.1408248611111107,0.0,0.0,W155_5,Z40_Sw025_Por25
