% 'Vsh'	'Por'	'Vp_b'	'Vs_b'	'Rhob_b'	'Vp_o'	'Vs_o'	'Rhob_o'	'Z_TVD'  
   2.8340000e-01   3.4240000e-01   2.5727422e+03   1.0723235e+03   2.0904000e+00   2.3542983e+03   1.0877208e+03   2.0316000e+00   2.1588750e+03
   2.1530000e-01   3.4550000e-01   2.6394192e+03   1.0880074e+03   2.0853000e+00   2.4369688e+03   1.1049117e+03   2.0220000e+00   2.1590000e+03
   1.3500000e-01   3.4640000e-01   2.6949543e+03   1.1174750e+03   2.0839000e+00   2.5004573e+03   1.1361888e+03   2.0158000e+00   2.1591250e+03
   8.7100000e-02   3.4430000e-01   2.7261348e+03   1.1506162e+03   2.0874000e+00   2.5323281e+03   1.1705077e+03   2.0170000e+00   2.1592500e+03
   6.4200000e-02   3.3750000e-01   2.7383005e+03   1.1761342e+03   2.0982000e+00   2.5390125e+03   1.1963069e+03   2.0280000e+00   2.1593750e+03
   5.7200000e-02   3.2510000e-01   2.7467114e+03   1.1921134e+03   2.1182000e+00   2.5396824e+03   1.2116748e+03   2.0504000e+00   2.1595000e+03
   6.6600000e-02   3.0820000e-01   2.7572695e+03   1.2027473e+03   2.1452000e+00   2.5424944e+03   1.2209911e+03   2.0816000e+00   2.1596250e+03
   9.4800000e-02   2.9290000e-01   2.7662617e+03   1.2088884e+03   2.1698000e+00   2.5467395e+03   1.2255719e+03   2.1111000e+00   2.1597500e+03
   1.2450000e-01   2.8600000e-01   2.7755496e+03   1.2182955e+03   2.1809000e+00   2.5572769e+03   1.2340908e+03   2.1255000e+00   2.1598750e+03
   1.2530000e-01   2.8890000e-01   2.7891099e+03   1.2536791e+03   2.1762000e+00   2.5724001e+03   1.2701473e+03   2.1201000e+00   2.1600000e+03
   7.9700000e-02   2.9780000e-01   2.8063130e+03   1.3035592e+03   2.1620000e+00   2.5879729e+03   1.3222238e+03   2.1013000e+00   2.1601250e+03
   1.7700000e-02   3.0550000e-01   2.8193982e+03   1.3362389e+03   2.1496000e+00   2.5985635e+03   1.3571776e+03   2.0837000e+00   2.1602500e+03
   0.0000000e+00   3.0440000e-01   2.8235708e+03   1.3289310e+03   2.1514000e+00   2.6029390e+03   1.3499819e+03   2.0848000e+00   2.1603750e+03
   0.0000000e+00   2.9370000e-01   2.8214761e+03   1.3027222e+03   2.1685000e+00   2.5965330e+03   1.3224573e+03   2.1043000e+00   2.1605000e+03
   0.0000000e+00   2.8300000e-01   2.8126038e+03   1.2759929e+03   2.1857000e+00   2.5800208e+03   1.2944545e+03   2.1238000e+00   2.1606250e+03
   0.0000000e+00   2.8180000e-01   2.7924385e+03   1.2332004e+03   2.1876000e+00   2.5580793e+03   1.2509498e+03   2.1260000e+00   2.1607500e+03
   9.0000000e-04   2.9250000e-01   2.7637336e+03   1.1879081e+03   2.1704000e+00   2.5341804e+03   1.2057998e+03   2.1065000e+00   2.1608750e+03
   1.4000000e-03   3.1060000e-01   2.7398696e+03   1.1654034e+03   2.1414000e+00   2.5180947e+03   1.1843202e+03   2.0735000e+00   2.1610000e+03
   2.0000000e-04   3.2820000e-01   2.7348193e+03   1.1689551e+03   2.1131000e+00   2.5226741e+03   1.1893307e+03   2.0413000e+00   2.1611250e+03
   3.0000000e-04   3.4090000e-01   2.7420725e+03   1.1754067e+03   2.0928000e+00   2.5399492e+03   1.1969138e+03   2.0183000e+00   2.1612500e+03
   0.0000000e+00   3.4810000e-01   2.7503389e+03   1.1854999e+03   2.0812000e+00   2.5542507e+03   1.2077990e+03   2.0050000e+00   2.1613750e+03
   1.0000000e-04   3.5070000e-01   2.7482131e+03   1.2005818e+03   2.0770000e+00   2.5506165e+03   1.2233859e+03   2.0003000e+00   2.1615000e+03
   0.0000000e+00   3.4930000e-01   2.7367773e+03   1.2244076e+03   2.0792000e+00   2.5302488e+03   1.2475450e+03   2.0028000e+00   2.1616250e+03
   0.0000000e+00   3.4480000e-01   2.7331460e+03   1.2624647e+03   2.0865000e+00   2.5160444e+03   1.2859185e+03   2.0111000e+00   2.1617500e+03
   0.0000000e+00   3.3940000e-01   2.7427852e+03   1.2975522e+03   2.0952000e+00   2.5198528e+03   1.3211672e+03   2.0210000e+00   2.1618750e+03
   0.0000000e+00   3.3550000e-01   2.7523364e+03   1.3009188e+03   2.1015000e+00   2.5299802e+03   1.3242413e+03   2.0281000e+00   2.1620000e+03
   1.2900000e-02   3.3340000e-01   2.7581858e+03   1.3021863e+03   2.1047000e+00   2.5379355e+03   1.3251119e+03   2.0325000e+00   2.1621250e+03
   3.6500000e-02   3.3230000e-01   2.7601697e+03   1.3252080e+03   2.1066000e+00   2.5383076e+03   1.3479900e+03   2.0360000e+00   2.1622500e+03
   2.5600000e-02   3.3120000e-01   2.7596677e+03   1.3655341e+03   2.1083000e+00   2.5281064e+03   1.3891200e+03   2.0373000e+00   2.1623750e+03
   9.1000000e-03   3.3070000e-01   2.7522500e+03   1.3872456e+03   2.1091000e+00   2.5110535e+03   1.4114851e+03   2.0373000e+00   2.1625000e+03
   1.4000000e-02   3.3150000e-01   2.7399072e+03   1.3761146e+03   2.1078000e+00   2.4967590e+03   1.4001378e+03   2.0361000e+00   2.1626250e+03
   0.0000000e+00   3.3360000e-01   2.7296594e+03   1.3695472e+03   2.1045000e+00   2.4833767e+03   1.3939243e+03   2.0315000e+00   2.1627500e+03
   0.0000000e+00   3.3680000e-01   2.7167666e+03   1.3569635e+03   2.0993000e+00   2.4698589e+03   1.3814210e+03   2.0256000e+00   2.1628750e+03
   0.0000000e+00   3.4100000e-01   2.7043525e+03   1.3258513e+03   2.0926000e+00   2.4612317e+03   1.3501307e+03   2.0180000e+00   2.1630000e+03
   0.0000000e+00   3.4560000e-01   2.6923267e+03   1.2818241e+03   2.0853000e+00   2.4555483e+03   1.3057059e+03   2.0097000e+00   2.1631250e+03
   0.0000000e+00   3.4990000e-01   2.6721079e+03   1.2055870e+03   2.0783000e+00   2.4430967e+03   1.2284163e+03   2.0018000e+00   2.1632500e+03
   0.0000000e+00   3.5330000e-01   2.6519636e+03   1.0930454e+03   2.0728000e+00   2.4345923e+03   1.1140112e+03   1.9955000e+00   2.1633750e+03
   4.4000000e-03   3.5470000e-01   2.6851714e+03   1.1359219e+03   2.0705000e+00   2.4758479e+03   1.1577510e+03   1.9932000e+00   2.1635000e+03
   2.9200000e-02   3.5260000e-01   2.7620254e+03   1.3618031e+03   2.0739000e+00   2.5471343e+03   1.3872823e+03   1.9984000e+00   2.1636250e+03
   6.4600000e-02   3.4670000e-01   2.7694136e+03   1.3734495e+03   2.0835000e+00   2.5550408e+03   1.3978717e+03   2.0113000e+00   2.1637500e+03
   6.5700000e-02   3.3900000e-01   2.8257935e+03   1.4187592e+03   2.0958000e+00   2.6205110e+03   1.4432153e+03   2.0254000e+00   2.1638750e+03
   4.7200000e-02   3.3350000e-01   2.8881562e+03   1.4611323e+03   2.1046000e+00   2.6938252e+03   1.4861516e+03   2.0344000e+00   2.1640000e+03
   4.7400000e-02   3.3180000e-01   2.8990562e+03   1.4631257e+03   2.1074000e+00   2.7074517e+03   1.4880068e+03   2.0375000e+00   2.1641250e+03
   6.3100000e-02   3.3310000e-01   2.8720337e+03   1.4476777e+03   2.1053000e+00   2.6752786e+03   1.4721029e+03   2.0360000e+00   2.1642500e+03
   1.0950000e-01   3.1920000e-01   2.9047085e+03   1.4743383e+03   2.1276000e+00   2.7115017e+03   1.4968866e+03   2.0640000e+00   2.1643750e+03
   1.8880000e-01   2.9360000e-01   2.9810029e+03   1.4906710e+03   2.1686000e+00   2.8066475e+03   1.5094207e+03   2.1151000e+00   2.1645000e+03
   2.8530000e-01   2.8870000e-01   2.8797502e+03   1.3730156e+03   2.1766000e+00   2.6994246e+03   1.3880798e+03   2.1296000e+00   2.1646250e+03
   4.0060000e-01   2.8600000e-01   2.6487532e+03   1.2544778e+03   2.1809000e+00   2.6487532e+03   1.2544778e+03   2.1809000e+00   2.1647500e+03
   4.8870000e-01   2.7660000e-01   2.6139644e+03   1.2050991e+03   2.1959000e+00   2.6139644e+03   1.2050991e+03   2.1959000e+00   2.1648750e+03
   4.8620000e-01   2.7020000e-01   2.6662043e+03   1.2492300e+03   2.2062000e+00   2.6662043e+03   1.2492300e+03   2.2062000e+00   2.1650000e+03
   4.3950000e-01   2.6890000e-01   2.7345413e+03   1.3127991e+03   2.2084000e+00   2.7345413e+03   1.3127991e+03   2.2084000e+00   2.1651250e+03
   3.9010000e-01   2.6820000e-01   2.8023867e+03   1.4011752e+03   2.2094000e+00   2.8023867e+03   1.4011752e+03   2.2094000e+00   2.1652500e+03
   3.5680000e-01   2.6400000e-01   2.9685151e+03   1.4739601e+03   2.2162000e+00   2.8009275e+03   1.4866136e+03   2.1786000e+00   2.1653750e+03
   3.3810000e-01   2.6510000e-01   2.9792371e+03   1.4623861e+03   2.2145000e+00   2.8147742e+03   1.4753870e+03   2.1756000e+00   2.1655000e+03
   3.5790000e-01   2.7010000e-01   2.8289392e+03   1.3814924e+03   2.2064000e+00   2.8289392e+03   1.3814924e+03   2.2064000e+00   2.1656250e+03
   4.3330000e-01   2.6920000e-01   2.7392441e+03   1.2794235e+03   2.2078000e+00   2.7392441e+03   1.2794235e+03   2.2078000e+00   2.1657500e+03
   5.0900000e-01   2.6950000e-01   2.6445554e+03   1.2002550e+03   2.2074000e+00   2.6445554e+03   1.2002550e+03   2.2074000e+00   2.1658750e+03
   5.6690000e-01   2.7150000e-01   2.5620574e+03   1.1447454e+03   2.2042000e+00   2.5620574e+03   1.1447454e+03   2.2042000e+00   2.1660000e+03
   5.6770000e-01   2.7290000e-01   2.5492610e+03   1.1529275e+03   2.2018000e+00   2.5492610e+03   1.1529275e+03   2.2018000e+00   2.1661250e+03
   4.7920000e-01   2.7530000e-01   2.6348704e+03   1.2350023e+03   2.1980000e+00   2.6348704e+03   1.2350023e+03   2.1980000e+00   2.1662500e+03
   3.8360000e-01   2.7840000e-01   2.7285244e+03   1.3526307e+03   2.1930000e+00   2.7285244e+03   1.3526307e+03   2.1930000e+00   2.1663750e+03
   3.1480000e-01   2.7830000e-01   2.9266211e+03   1.4566028e+03   2.1932000e+00   2.7472935e+03   1.4711239e+03   2.1502000e+00   2.1665000e+03
   2.4840000e-01   2.8460000e-01   2.9731387e+03   1.5157637e+03   2.1830000e+00   2.7935105e+03   1.5327903e+03   2.1348000e+00   2.1666250e+03
   1.7750000e-01   2.9010000e-01   3.0300593e+03   1.5679832e+03   2.1743000e+00   2.8555825e+03   1.5876090e+03   2.1209000e+00   2.1667500e+03
   1.1820000e-01   2.9380000e-01   3.0846577e+03   1.6128145e+03   2.1683000e+00   2.9172017e+03   1.6346686e+03   2.1107000e+00   2.1668750e+03
   8.6500000e-02   2.9660000e-01   3.1081782e+03   1.6329609e+03   2.1638000e+00   2.9439065e+03   1.6560824e+03   2.1038000e+00   2.1670000e+03
   7.3100000e-02   2.9830000e-01   3.1143689e+03   1.6386210e+03   2.1611000e+00   2.9510051e+03   1.6622993e+03   2.0999000e+00   2.1671250e+03
   6.5600000e-02   3.0010000e-01   3.1116187e+03   1.6370544e+03   2.1583000e+00   2.9479309e+03   1.6610620e+03   2.0963000e+00   2.1672500e+03
   6.0800000e-02   3.0170000e-01   3.1063652e+03   1.6329642e+03   2.1557000e+00   2.9420852e+03   1.6571837e+03   2.0932000e+00   2.1673750e+03
   5.7500000e-02   3.0330000e-01   3.0980759e+03   1.6267863e+03   2.1530000e+00   2.9327075e+03   1.6511646e+03   2.0899000e+00   2.1675000e+03
   5.4800000e-02   3.0490000e-01   3.0898640e+03   1.6194523e+03   2.1506000e+00   2.9236233e+03   1.6439412e+03   2.0870000e+00   2.1676250e+03
   5.2200000e-02   3.0730000e-01   3.0749912e+03   1.6070656e+03   2.1467000e+00   2.9069351e+03   1.6316749e+03   2.0824000e+00   2.1677500e+03
   4.9000000e-02   3.1040000e-01   3.0550742e+03   1.5907080e+03   2.1417000e+00   2.8845066e+03   1.6154636e+03   2.0765000e+00   2.1678750e+03
   4.8800000e-02   3.1350000e-01   3.0316709e+03   1.5717838e+03   2.1366000e+00   2.8580295e+03   1.5965724e+03   2.0708000e+00   2.1680000e+03
   4.9800000e-02   3.1670000e-01   3.0071541e+03   1.5524445e+03   2.1316000e+00   2.8301431e+03   1.5772286e+03   2.0651000e+00   2.1681250e+03
   4.9300000e-02   3.1980000e-01   2.9849966e+03   1.5367000e+03   2.1266000e+00   2.8046218e+03   1.5615614e+03   2.0594000e+00   2.1682500e+03
   4.9200000e-02   3.2120000e-01   2.9682661e+03   1.4781268e+03   2.1244000e+00   2.7932546e+03   1.5021792e+03   2.0569000e+00   2.1683750e+03
   4.9400000e-02   3.1870000e-01   2.9669351e+03   1.4010616e+03   2.1284000e+00   2.8031592e+03   1.4236234e+03   2.0615000e+00   2.1685000e+03
   5.0000000e-02   3.1500000e-01   2.9766191e+03   1.4037317e+03   2.1343000e+00   2.8137837e+03   1.4259813e+03   2.0682000e+00   2.1686250e+03
   5.0800000e-02   3.1270000e-01   2.9857566e+03   1.4060376e+03   2.1380000e+00   2.8244956e+03   1.4280927e+03   2.0725000e+00   2.1687500e+03
   5.1500000e-02   3.1110000e-01   2.9787217e+03   1.4057786e+03   2.1405000e+00   2.8141775e+03   1.4276741e+03   2.0754000e+00   2.1688750e+03
   5.2400000e-02   3.1060000e-01   2.9609675e+03   1.4019943e+03   2.1414000e+00   2.7904360e+03   1.4237638e+03   2.0764000e+00   2.1690000e+03
   5.4000000e-02   3.1130000e-01   2.9543716e+03   1.4016332e+03   2.1403000e+00   2.7820688e+03   1.4234319e+03   2.0752000e+00   2.1691250e+03
   5.8200000e-02   3.1290000e-01   2.9714370e+03   1.4136729e+03   2.1376000e+00   2.8046433e+03   1.4357316e+03   2.0724000e+00   2.1692500e+03
   6.7300000e-02   3.1470000e-01   2.9884753e+03   1.4297018e+03   2.1348000e+00   2.8268806e+03   1.4519926e+03   2.0697000e+00   2.1693750e+03
   7.9500000e-02   3.1550000e-01   2.9762024e+03   1.4235387e+03   2.1335000e+00   2.8128735e+03   1.4455688e+03   2.0690000e+00   2.1695000e+03
   8.8100000e-02   3.1550000e-01   2.9632090e+03   1.4142362e+03   2.1335000e+00   2.7976282e+03   1.4359525e+03   2.0695000e+00   2.1696250e+03
   9.0300000e-02   3.1550000e-01   2.9633904e+03   1.4455623e+03   2.1335000e+00   2.7927622e+03   1.4677169e+03   2.0696000e+00   2.1697500e+03
   8.7400000e-02   3.1580000e-01   2.9698362e+03   1.4742979e+03   2.1329000e+00   2.7964370e+03   1.4969869e+03   2.0688000e+00   2.1698750e+03
   7.9500000e-02   3.1600000e-01   2.9889353e+03   1.5022043e+03   2.1327000e+00   2.8168030e+03   1.5255022e+03   2.0681000e+00   2.1700000e+03
   7.0000000e-02   3.1470000e-01   3.0142012e+03   1.5168617e+03   2.1347000e+00   2.8469233e+03   1.5404604e+03   2.0698000e+00   2.1701250e+03
   6.2100000e-02   3.1210000e-01   3.0148760e+03   1.5128153e+03   2.1389000e+00   2.8462905e+03   1.5362585e+03   2.0741000e+00   2.1702500e+03
